,revenue_or_forecast
2008-01-01,100854.7200
2008-02-01,104561.9500
2008-03-01,109825.4500
2008-04-01,134630.5600
2008-05-01,19898.6600
2008-07-01,30192.1000
2008-08-01,26609.4000
2008-09-01,76823.8000
2008-10-01,90907.6000
2009-01-01,66692.8000
2009-02-01,41207.2000
2009-03-01,39979.9000
2009-04-01,55699.3900
2009-05-01,56823.7000
2009-06-01,39088.0000
2009-07-01,55464.9300
2009-08-01,49981.6900
2009-09-01,138974.8800
2009-10-01,116241.8600
2009-11-01,124701.4444
2009-12-01,141826.5931
2010-01-01,160635.1323
2010-02-01,181127.0620
2010-03-01,203302.3822
2010-04-01,227161.0930
